hjres33-111	Jackson, Jesse L., Jr.	0
hjres34-111	Jackson, Jesse L., Jr.	0
hjres35-111	Jackson, Jesse L., Jr.	0
hjres36-111	Jackson, Jesse L., Jr.	0
hjres37-111	Lungren, Daniel E.	0
hjres38-111	Obey, David R.	1
hjres39-111	Ros-Lehtinen, Ileana	0
hjres4-111	McCollum, Betty	0
hjres40-111	Baca, Joe	1
hjres41-111	Bachmann, Michele	0
hjres42-111	Hoekstra, Peter	0
hjres43-111	Buchanan, Vern	0
hjres44-111	Skelton, Ike	1
hjres46-111	Boren, Dan	0
hjres47-111	Emerson, Jo Ann	0
hjres48-111	Paul, Ron	0
hjres49-111	Larson, John B.	0
hjres5-111	Serrano, Jose E.	0
hjres50-111	Broun, Paul C.	0
hjres51-111	Gohmert, Louie	0
hjres52-111	Baird, Brian	0
hjres53-111	Rohrabacher, Dana	0
hjres54-111	Broun, Paul C.	0
hjres55-111	Markey, Edward J.	0
hjres56-111	Crowley, Joseph	1
hjres57-111	Turner, Michael R.	0
hjres58-111	Hoyer, Steny H.	0
hjres59-111	Stupak, Bart	0
hjres6-111	Emerson, Jo Ann	0
hjres60-111	Berman, Howard L.	0
hjres61-111	Maloney, Carolyn B.	0
hjres62-111	Hoyer, Steny H.	1
hjres63-111	Price, Tom	0
hjres64-111	Obey, David R.	0
hjres65-111	Halvorson, Deborah L.	0
hjres66-111	Moran, Jerry	0
hjres67-111	Hall, Ralph M.	0
hjres68-111	Boswell, Leonard L.	0
hjres69-111	Hoekstra, Peter	0
hjres7-111	Emerson, Jo Ann	0
hjres70-111	Hoekstra, Peter	0
hjres71-111	Hoekstra, Peter	0
hjres72-111	Chaffetz, Jason	0
hjres73-111	Broun, Paul C.	0
hjres74-111	Edwards, Donna F.	0
hjres75-111	Broun, Paul C.	0
hjres76-111	Skelton, Ike	0
hjres77-111	Barton, Joe	0
hjres78-111	Bright, Bobby	0
hjres79-111	Hensarling, Jeb	0
hjres8-111	Emerson, Jo Ann	0
hjres80-111	Halvorson, Deborah L.	1
hjres81-111	Rangel, Charles B.	0
hjres82-111	Hodes, Paul W.	0
hjres83-111	Crowley, Joseph	1
hjres84-111	Schrader, Kurt	0
hjres85-111	Markey, Edward J.	0
hjres86-111	Rangel, Charles B.	0
hjres87-111	Neugebauer, Randy	0
hjres88-111	Berman, Howard L.	0
hjres89-111	Terry, Lee	0
hjres9-111	Green, Gene	0
hjres90-111	Jackson Lee, Sheila	0
hjres91-111	Berman, Howard L.	0
hjres92-111	Ros-Lehtinen, Ileana	0
hjres93-111	Chaffetz, Jason	0
